anchor,positive
"If the following system has non-trivial solution, px+qy+rz=0, qx+ry+pz=0, rx+py+qz=0, then which one of the following options is TRUE?",CS - Engineering Mathematics: Linear Algebra - System of Linear Equations
"For the processes listed in the following table, which of the following scheduling schemes will give the lowest average turnaround time?
[Process table shown with arrival and processing times]
Process A(0,3), B(1,6), C(4,4), D(6,2)",CS - Operating Systems: CPU Scheduling - Scheduling Algorithms Comparison
Consider the equation (43)ₓ = (y3)₈ where x and y are unknown. The number of possible solutions is __________.,CS - Engineering Mathematics: Discrete Mathematics - Number Systems
"Two hosts are connected via a packet switch with 10⁷ bits per second links. Each link has a propagation delay of 20 microseconds. The switch begins forwarding a packet 35 microseconds after it receives the same. If 10000 bits of data are to be transmitted between the two hosts using a packet size of 5000 bits, the time elapsed between the transmission of the first bit of data and the reception of the last bit of the data in microseconds is __________.",CS - Computer Networks: Packet Switching - Delay Calculation
"Suppose Xᵢ for i = 1,2,3 are independent and identically distributed random variables whose probability mass functions are Pr[Xᵢ=0] = Pr[Xᵢ=1] = 1/2 for i = 1,2,3. Define another random variable Y = X₁X₂ ⊕ X₃, where ⊕ denotes XOR. Then Pr[Y=0 | X₃=0] = __________.",CS - Engineering Mathematics: Probability - Conditional Probability and Random Variables
"In the network 200.10.11.144/27, the fourth octet (in decimal) of the last IP address of the network which can be assigned to a host is __________.",CS - Computer Networks: IP Addressing - Subnetting
"Consider the following recursive C function.
void get(int n) {
  if (n<1) return;
  get(n-1);
  get(n-3);
  printf(""%d"", n);
}
If get(6) function is being called in main() then how many times will the get() function be invoked before returning to the main()?",CS - Programming and Data Structures: Recursion - Analysis of Recursive Calls
"Let G be a connected undirected graph of 100 vertices and 300 edges. The weight of a minimum spanning tree of G is 500. When the weight of each edge of G is increased by five, the weight of a minimum spanning tree becomes __________.",CS - Algorithms: Graph Algorithms - Minimum Spanning Trees (MST) Properties
"Let R be a relation on the set of ordered pairs of positive integers such that ((p,q),(r,s)) ∈ R if and only if p-s = q-r. Which one of the following is true about R?",CS - Engineering Mathematics: Discrete Mathematics - Relations and Their Properties
"Let f(n) = n and g(n) = n^(1+sin n), where n is a positive integer. Which of the following statements is/are correct?
I. f(n) = O(g(n))
II. f(n) = Ω(g(n))",CS - Algorithms: Asymptotic Analysis - Big-O and Omega Notation
"The total number of prime implicants of the function f(w,x,y,z) = Σ(0,2,4,5,6,10) is __________.",CS - Digital Logic: Boolean Algebra - K-Maps and Prime Implicants
"Given the function F = P' + QR, where F is a function in three Boolean variables P, Q and R and P' = !P, consider the following statements.
(S1) F = Σ(4,5,6)
(S2) F = Σ(0,1,2,3,7)
(S3) F = Π(4,5,6)
(S4) F = Π(0,1,2,3,7)
Which of the following is true?",CS - Digital Logic: Boolean Algebra - Canonical Forms (SOP and POS)
"If for non-zero x, af(x) + bf(1/x) = 1/x - 25 where a ≠ b then ∫₁² f(x)dx is",CS - Engineering Mathematics: Calculus - Definite Integrals and Functional Equations
"Consider a B+ tree in which the search key is 12 bytes long, block size is 1024 bytes, record pointer is 10 bytes long and block pointer is 8 bytes long. The maximum number of keys that can be accommodated in each non-leaf node of the tree is __________.",CS - Databases: Indexing - B+ Tree Order Calculation
"Consider the following code sequence having five instructions I₁ to I₅... Consider the following three statements.
S1: There is an anti-dependence between instructions I₂ and I₅.
S2: There is an anti-dependence between instructions I₂ and I₄.
S3: Within an instruction pipeline an anti-dependence always creates one or more stalls.
Which one of above statements is/are correct?",CS - Computer Organization and Architecture: Pipelining - Data Hazards (Anti-dependence)
"Consider the following C program:
#include<stdio.h>
int main(){
  int i, j, k = 0;
  j = 2 * 3 / 4 + 2.0 / 5 + 8 / 5;
  k -= --j;
  for(i = 0; i < 5; i++){
    switch(i + k){
      case 1:
      case 2: printf(""\n%d"", i+k);
      case 3: printf(""\n%d"", i+k);
      default: printf(""\n%d"", i+k);
    }
  }
  return 0;
}
The number of times printf statement is executed is __________.",CS - Programming and Data Structures: Programming in C - Switch Statement and Operator Precedence
"Suppose c = (c[0], ..., c[k-1]) is an array of length k... For any positive integers a and n, consider the following pseudocode.
DOSOMETHING(c, a, n)
  z ← 1
  for i ← 0 to k-1
    do z ← z² mod n
       if c[i] = 1
          then z ← (z × a) mod n
  return z
If k=4, c=(1,0,1,1), a=2 and n=8, then the output of DOSOMETHING(c,a,n) is __________.",CS - Algorithms: Number Theory - Modular Exponentiation
"The velocity v (in kilometer/minute) of a motorbike which starts from rest, is given at fixed intervals of time t (in minutes) as follows:
[Table of v vs t is given]
The approximate distance (in kilometers) rounded to two places of decimals covered in 20 minutes using Simpson's 1/3rd rule is __________.",CS - Engineering Mathematics: Numerical Methods - Simpson's 1/3 Rule
"Consider the following reservation table for a pipeline having three stages S₁, S₂, and S₃.
[Reservation table shown]
The minimum average latency (MAL) is __________.",CS - Computer Organization and Architecture: Pipelining - Reservation Tables and Latency Analysis
"Consider the following policies for preventing deadlock in a system with mutually exclusive resources.
I. Processes should acquire all their resources at the beginning of execution...
II. The resources are numbered uniquely, and processes are allowed to request for resources only in increasing resource numbers
III. The resources are numbered uniquely, and processes are allowed to request for resources only in decreasing resource numbers
IV. The resources are numbered uniquely. A process is allowed to request only for a resource with resource number larger than its currently held resources
Which of the above policies can be used for preventing deadlock?",CS - Operating Systems: Deadlocks - Deadlock Prevention
"Language L₁ is polynomial time reducible to language L₂. Language L₃ is polynomial time reducible to L₁, which in turn is polynomial time reducible to language L₄. Which of the following is/are true?
I. if L₁ ∈ P, then L₂ ∈ P
II. if L₂ ∈ P or L₃ ∈ P, then L₁ ∈ P
III. L₁ ∈ P, if and only if L₃ ∈ P
IV. if L₄ ∈ P, then L₂ ∈ P and L₃ ∈ P",CS - Theory of Computation: Complexity Theory - Polynomial Time Reducibility
"Consider the following C program.
#include<stdio.h>
int f1(void); int f2(void); int f3(void);
int x=10;
int main() {
  int x = 1;
  x += f1() + f2() + f3() + f2();
  printf(""%d"", x);
  return 0;
}
int f1() { int x = 25; x++; return x; }
int f2() { static int x = 50; x++; return x; }
int f3() { x *= 10; return x; }
The output of the program is __________.","CS - Programming and Data Structures: Programming in C - Scope of Variables (Local, Global, Static)"
"Consider three software items: Program-X, Control Flow Diagram of Program-Y and Control Flow Diagram of Program-Z as shown below
[Program X code, CFG for Y and CFG for Z are shown]
The values of McCabe's Cyclomatic complexity of Program-X, Program-Y, and Program-Z respectively are",CS - Software Engineering: Software Testing - Cyclomatic Complexity
The ________ is too high for it to be considered ________.,GA - Verbal Ability: Vocabulary - Homonyms/Homophones
"A function y(x) is defined in the interval [0, 1] on the x-axis as
y(x) = 
  2 if 0 ≤ x < 1/3
  3 if 1/3 ≤ x < 3/4
  1 if 3/4 ≤ x ≤ 1
Which one of the following is the area under the curve for the interval [0, 1] on the x-axis?",GA - Quantitative Aptitude: Calculus - Area Under Curve (Integration)
"Let r be a root of the equation x² + 2x + 6 = 0.
Then the value of the expression (r + 2)(r + 3)(r + 4)(r + 5) is",GA - Quantitative Aptitude: Algebra - Quadratic Equations
"Given below are four statements.
Statement 1: All students are inquisitive.
Statement 2: Some students are inquisitive.
Statement 3: No student is inquisitive.
Statement 4: Some students are not inquisitive.
From the given four statements, find the two statements that CANNOT BE TRUE simultaneously, assuming that there is at least one student in the class.",GA - Analytical Aptitude: Logical Reasoning - Contradictory Statements
"A palindrome is a word that reads the same forwards and backwards. In a game of words, a player has the following two plates painted with letters.
[Image of plates with 'A' and 'D']
From the additional plates given in the options, which one of the combinations of additional plates would allow the player to construct a five-letter palindrome.
The player should use all the five plates exactly once. The plates can be rotated in their plane.",GA - Spatial Aptitude: Visual Reasoning - Pattern Recognition
"Some people believe that “what gets measured, improves”. Some others believe that “what gets measured, gets gamed”. One possible reason for the difference in the beliefs is the work culture in organizations. In organizations with good work culture, metrics help improve outcomes. However, the same metrics are counterproductive in organizations with poor work culture.
Which one of the following is the CORRECT logical inference based on the information in the above passage?",GA - Verbal Ability: Reading Comprehension - Logical Inference
"In a recently conducted national entrance test, boys constituted 65% of those who appeared for the test. Girls constituted the remaining candidates and they accounted for 60% of the qualified candidates.
Which one of the following is the correct logical inference based on the information provided in the above passage?",GA - Quantitative Aptitude: Percentages - Data Interpretation
"A box contains five balls of same size and shape. Three of them are green coloured balls and two of them are orange coloured balls. Balls are drawn from the box one at a time. If a green ball is drawn, it is not replaced. If an orange ball is drawn, it is replaced with another orange ball.
First ball is drawn. What is the probability of getting an orange ball in the next draw?",GA - Quantitative Aptitude: Probability - Total Probability Theorem
"The corners and mid-points of the sides of a triangle are named using the distinct letters P, Q, R, S, T and U, but not necessarily in the same order. Consider the following statements:
- The line joining P and R is parallel to the line joining Q and S.
- P is placed on the side opposite to the corner T.
- S and U cannot be placed on the same side.
Which one of the following statements is correct based on the above information?",GA - Analytical Aptitude: Puzzles - Spatial Reasoning
"A plot of land must be divided between four families. They want their individual plots to be similar in shape, not necessarily equal in area. The land has equally spaced poles, marked as dots in the below figure. Two ropes, R1 and R2, are already present and cannot be moved.
[Image of a grid of dots with two line segments R1 and R2]
What is the least number of additional straight ropes needed to create the desired plots? A single rope can pass through three poles that are aligned in a straight line.",GA - Spatial Aptitude: Visual Reasoning - Problem Solving
Which one of the following statements is TRUE for all positive functions f(n)?,CS - Algorithms: Asymptotic Analysis - Properties of Asymptotic Notations
"Which one of the following regular expressions correctly represents the language of the finite automaton given below?
[Image of a two-state DFA]",CS - Theory of Computation: Finite Automata and Regular Languages - Regular Expressions from Finite Automata
Which one of the following statements is TRUE?,CS - Compiler Design: Syntax Analysis - LALR(1) vs LR(1) Parsers
"In a relational data model, which one of the following statements is TRUE?",CS - Databases: Relational Database Design - Boyce-Codd Normal Form (BCNF)
"Consider the problem of reversing a singly linked list. To take an example, given the linked list below,
head -> a -> b -> c -> d -> e -> NULL
the reversed linked list should look like
head -> e -> d -> c -> b -> a -> NULL
Which one of the following statements is TRUE about the time complexity of algorithms that solve the above problem in O(1) space?",CS - Programming and Data Structures: Linked Lists - List Reversal Algorithm Analysis
"Suppose we are given n keys, m hash table slots, and two simple uniform hash functions h₁ and h₂. Further suppose our hashing scheme uses h₁ for the odd keys and h₂ for the even keys. What is the expected number of keys in a slot?",CS - Programming and Data Structures: Hashing - Uniform Hashing Expectation
Which one of the following facilitates transfer of bulk data from hard disk to main memory with the highest throughput?,CS - Computer Organization and Architecture: Input/Output (I/O) Systems - Direct Memory Access (DMA)
"Let R1 and R2 be two 4-bit registers that store numbers in 2's complement form. For the operation R1+R2, which one of the following values of R1 and R2 gives an arithmetic overflow?",CS - Digital Logic: Data Representation - 2's Complement Arithmetic Overflow
"Consider the following threads, T1, T2, and T3 executing on a single processor, synchronized using three binary semaphore variables, S1, S2, and S3, operated upon using standard wait() and signal(). The threads can be context switched in any order and at any time.

T1: while(true) { wait(S3); print(“C”); signal(S2); }
T2: while(true) { wait(S1); print(“B”); signal(S3); }
T3: while(true) { wait(S2); print(“A”); signal(S1); }

Which initialization of the semaphores would print the sequence BCABCABCA....?",CS - Operating Systems: Process Synchronization - Semaphores
"Consider the following two statements with respect to the matrices A_{m×n}, B_{n×m}, C_{n×n} and D_{n×n}.
Statement 1: tr(AB) = tr(BA)
Statement 2: tr(CD) = tr(DC)
where tr() represents the trace of a matrix. Which one of the following holds?",CS - Engineering Mathematics: Linear Algebra - Properties of Trace of a Matrix
"What is printed by the following ANSI C program?
#include<stdio.h>
int main(int argc, char *argv[])
{
  int x = 1, z[2] = {10, 11};
  int *p = NULL;
  p = &x;
  *p = 10;
  p = &z[1];
  *(&z[0] + 1) += 3;
  printf(""%d, %d, %d\n"", x, z[0], z[1]);
  return 0;
}",CS - Programming and Data Structures: Programming in C - Pointers and Array Arithmetic
"Consider an enterprise network with two Ethernet segments, a web server and a firewall, connected via three routers as shown below.
[Image of a network diagram showing routers, a firewall, a web server, and two Ethernet segments.]
What is the number of subnets inside the enterprise network?",CS - Computer Networks: Network Layer - Subnetting
Which of the following statements is/are TRUE?,CS - Theory of Computation: Recursive and Recursively Enumerable Languages - Properties and Closure
Let WB and WT be two set associative cache organizations that use LRU algorithm for cache block replacement. WB is a write back cache and WT is a write through cache. Which of the following statements is/are FALSE?,CS - Computer Organization and Architecture: Memory Hierarchy - Cache Write Policies
"Consider the following three relations in a relational database.
Employee(eId, Name), Brand(bId, bName), Own(eId, bId)
Which of the following relational algebra expressions return the set of eIds who own all the brands?",CS - Databases: Relational Model - Relational Algebra (Division)
Which of the following statements is/are TRUE with respect to deadlocks?,CS - Operating Systems: Deadlocks - Deadlock Properties and Detection
"Suppose a binary search tree with 1000 distinct elements is also a complete binary tree. The tree is stored using the array representation of binary heap trees. Assuming that the array indices start with 0, the 3rd largest element of the tree is stored at index __________.",CS - Programming and Data Structures: Trees - Binary Search Tree and Complete Binary Tree Properties
"Consider the augmented grammar with {+, *, (, ), id} as the set of terminals.
S' -> S
S -> S + R | R
R -> R * P | P
P -> (S) | id
If I₀ is the set of two LR(0) items {[S' -> .S], [S -> .S + R]}, then goto(closure(I₀), +) contains exactly __________ items.",CS - Compiler Design: Syntax Analysis - LR(0) Parsing
"Consider a simple undirected graph of 10 vertices. If the graph is disconnected, then the maximum number of edges it can have is __________.",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Complete and Disconnected Graphs)
"Consider a relation R(A,B,C,D,E) with the following three functional dependencies.
AB -> C; BC -> D; C -> E;
The number of superkeys in the relation R is __________.",CS - Databases: Relational Database Design - Candidate Keys and Superkeys
The number of arrangements of six identical balls in three identical bins is __________.,CS - Engineering Mathematics: Discrete Mathematics - Combinatorics (Integer Partitions)
"A cache memory that has a hit rate of 0.8 has an access latency 10 ns and miss penalty 100 ns. An optimization is done on the cache to reduce the miss rate. However, the optimization results in an increase of cache access latency to 15 ns, whereas the miss penalty is not affected. The minimum hit rate (rounded off to two decimal places) needed after the optimization such that it should not increase the average memory access time is __________.",CS - Computer Organization and Architecture: Memory Hierarchy - Cache Performance (AMAT)
"The value of the following limit is __________.
lim_{x->0+} (√x) / (1 - e^{2√x})",CS - Engineering Mathematics: Calculus - Limits (L'Hopital's Rule)
Consider the resolution of the domain name www.gate.org.in by a DNS resolver. Assume that no resource records are cached anywhere across the DNS servers and that iterative query mechanism is used in the resolution. The number of DNS query-response pairs involved in completely resolving the domain name is __________.,CS - Computer Networks: Application Layer - Domain Name System (DNS)
"Which one of the following is the closed form for the generating function of the sequence {a_n}_{n>=0} defined below?
a_n = n+1, if n is odd
a_n = 1, if n is even (and n>=0)",CS - Engineering Mathematics: Discrete Mathematics - Generating Functions
"Consider a simple undirected unweighted graph with at least three vertices. If A is the adjacency matrix of the graph, then the number of 3-cycles in the graph is given by the trace of",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Adjacency Matrix and Cycles)
Which one of the following statements is FALSE?,CS - Operating Systems: Memory Management - Paging and Translation Lookaside Buffer (TLB)
"Let Rᵢ(z) and Wᵢ(z) denote read and write operations on a data element z by a transaction Tᵢ, respectively. Consider the schedule S with four transactions.
S: R₄(x)R₂(x)R₃(x)R₁(y)W₁(y)W₂(x)W₃(y)R₄(y)
Which one of the following serial schedules is conflict equivalent to S?",CS - Databases: Transaction Management - Conflict Serializability
"Consider a digital display system (DDS) shown in the figure that displays the contents of register X. A 16-bit code word is used to load a word in X, either from S or from R. S is a 1024-word memory segment and R is a 32-word register file. Based on the value of mode bit M, T selects an input word to load in X. P and Q interface with the corresponding bits in the code word to choose the addressed word. Which one of the following represents the functionality of P, Q, and T?
[Image of a block diagram showing M, S-address, R-address as inputs]",CS - Digital Logic: Combinational Circuits - Decoders and Multiplexers
"Consider three floating point numbers A, B and C stored in registers RA, RB and RC, respectively as per IEEE-754 single precision floating point format. The 32-bit content stored in these registers (in hexadecimal form) are as follows.
RA= 0xC1400000
RB = 0x42100000
RC = 0x41400000
Which one of the following is FALSE?",CS - Computer Organization and Architecture: Data Representation - IEEE 754 Floating-Point Arithmetic
"Consider four processes P, Q, R, and S scheduled on a CPU as per round robin algorithm with a time quantum of 4 units. The processes arrive in the order P, Q, R, S, all at time t = 0. There is exactly one context switch from S to Q, exactly one context switch from R to Q, and exactly two context switches from Q to R. There is no context switch from S to P. Switching to a ready process after the termination of another process is also considered a context switch. Which one of the following is NOT possible as CPU burst time (in time units) of these processes?",CS - Operating Systems: CPU Scheduling - Round Robin Scheduling
"What is printed by the following ANSI C program?
#include<stdio.h>
int main(int argc, char *argv[])
{
  int a[3][3][3] =
  {
    {{1, 2, 3}, {4, 5, 6}, {7, 8, 9}},
    {{10, 11, 12}, {13, 14, 15}, {16, 17, 18}},
    {{19, 20, 21}, {22, 23, 24}, {25, 26, 27}}
  };
  int i = 0, j = 0, k = 0;
  for( i = 0; i < 3; i++ ) {
    for( k = 0; k < 3; k++ )
      printf(""%d "", a[i][j][k]);
    printf(""\n"");
  }
  return 0;
}",CS - Programming and Data Structures: Programming in C - Multi-dimensional Arrays
"What is printed by the following ANSI C program?
#include<stdio.h>
int main(int argc, char *argv[]){
  char a = 'P';
  char b = 'x';
  char c = (a & b) + '*';
  char d = (a | b) - '-';
  char e = (a ^ b) + '+';
  printf(""%c %c %c\n"", c, d, e);
  return 0;
}
ASCII encoding for relevant characters is given below
[Table of ASCII values: A=65, ..., Z=90, a=97, ..., z=122, *=42, +=43, -=45]",CS - Programming and Data Structures: Programming in C - Bitwise Operators and Character Encoding
"Consider solving the following system of simultaneous equations using LU decomposition.
x₁ + x₂ - 2x₃ = 4
x₁ + 3x₂ - x₃ = 7
2x₁ + x₂ - 5x₃ = 7
where L and U are denoted as
L = [[L₁₁, 0, 0], [L₂₁, L₂₂, 0], [L₃₁, L₃₂, L₃₃]]
U = [[U₁₁, U₁₂, U₁₃], [0, U₂₂, U₂₃], [0, 0, U₃₃]]
Which one of the following is the correct combination of values for L₃₂, U₃₃, and x₁?",CS - Engineering Mathematics: Linear Algebra - LU Decomposition
Which of the following is/are undecidable?,CS - Theory of Computation: Undecidability - Rice's Theorem and Undecidable Problems
"Consider the following languages:
L₁ = {aⁿwaⁿ | w ∈ {a,b}*}
L₂ = {wxwᴿ | w, x ∈ {a,b}*, |w|, |x| > 0}
Note that wᴿ is the reversal of the string w. Which of the following is/are TRUE?",CS - Theory of Computation: Formal Languages - Language Classification
"Consider the following languages:
L₁ = {ww | w ∈ {a,b}*}
L₂ = {aⁿbⁿcᵐ | m, n ≥ 0}
L₃ = {aᵐbⁿcⁿ | m, n ≥ 0}
Which of the following statements is/are FALSE?",CS - Theory of Computation: Context-Free Languages - Properties and Closure of CFLs
"Consider a simple undirected weighted graph G, all of whose edge weights are distinct. Which of the following statements about the minimum spanning trees of G is/are TRUE?",CS - Algorithms: Graph Algorithms - Minimum Spanning Tree Properties
"The following simple undirected graph is referred to as the Peterson graph.
[Image of the Peterson graph]
Which of the following statements is/are TRUE?",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Peterson Graph Properties)
"Consider the following recurrence:
f(1) = 1;
f(2n) = 2f(n) - 1, for n ≥ 1;
f(2n+1) = 2f(n) + 1, for n ≥ 1.
Then, which of the following statements is/are TRUE?",CS - Algorithms: Recurrence Relations - Solving Recurrences
Which of the properties hold for the adjacency matrix A of a simple undirected unweighted graph having n vertices?,CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Adjacency Matrix Properties)
"Which of the following is/are the eigenvector(s) for the matrix given below?
[[-9, -6, -2, -4],
 [-8, -6, -3, -1],
 [20, 15, 8, 5],
 [32, 21, 7, 12]]",CS - Engineering Mathematics: Linear Algebra - Eigenvectors and Eigenvalues
The symbol → indicates functional dependency in the context of a relational database. Which of the following options is/are TRUE?,CS - Databases: Relational Database Design - Armstrong's Axioms
"Let P(x) be an arbitrary predicate over the domain of natural numbers.
Which ONE of the following statements is TRUE?",CS - Engineering Mathematics: Discrete Mathematics - Predicate Logic and Induction
"Consider a system with 2 KB direct mapped data cache with a block size of 64 bytes. The system has a physical address space of 64 KB and a word length of 16 bits. During the execution of a program, four data words P, Q, R, and S are accessed in that order 10 times (i.e., PQRSPQRS...). Hence, there are 40 accesses to data cache altogether. Assume that the data cache is initially empty and no other data words are accessed by the program. The addresses of the first bytes of P, Q, R, and S are 0xA248, 0xC28A, 0xCA8A, and 0xA262, respectively. For the execution of the above program, which of the following statements is/are TRUE with respect to the data cache?",CS - Computer Organization and Architecture: Memory Hierarchy - Direct Mapped Cache Analysis
"Consider routing table of an organization's router shown below:
[Table with columns: Subnet Number, Subnet Mask, Next Hop]
Which of the following prefixes in CIDR notation can be collectively used to correctly aggregate all of the subnets in the routing table?",CS - Computer Networks: Network Layer - Route Aggregation (CIDR)
"Consider the relational database with the following four schemas and their respective instances.
Student(sNo, sName, dNo) Dept(dNo, dName)
Course(cNo, cName, dNo) Register(sNo, cNo)
[Tables with sample data for Student, Dept, Course, and Register]
SQL Query:
SELECT * FROM Student AS S WHERE NOT EXISTS
(SELECT cNo FROM Course WHERE dNo = ""D01""
EXCEPT
SELECT cNo FROM Register WHERE sNo = S.sNo)
The number of rows returned by the above SQL query is __________.",CS - Databases: SQL - Correlated Subqueries and Set Operations
"Consider a network with three routers P, Q, R shown in the figure below. All the links have cost of unity.
[Diagram showing routers P-Q-R]
The routers exchange distance vector routing information and have converged on the routing tables, after which the link Q-R fails. Assume that P and Q send out routing updates at random times, each at the same average rate. The probability of a routing loop formation (rounded off to one decimal place) between P and Q, leading to count-to-infinity problem, is __________.",CS - Computer Networks: Routing Algorithms - Distance Vector Routing (Count-to-Infinity)
"Let G(V, E) be a directed graph, where V = {1,2,3,4,5} is the set of vertices and E is the set of directed edges, as defined by the following adjacency matrix A.
A[i][j] = 1, if 1 <= j < i <= 5
A[i][j] = 0, otherwise
A[i][j] = 1 indicates a directed edge from node i to node j. A directed spanning tree of G, rooted at r ∈ V, is defined as a subgraph T of G such that the undirected version of T is a tree, and T contains a directed path from r to every other vertex in V. The number of such directed spanning trees rooted at vertex 5 is __________.",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Directed Spanning Trees)
"Consider a 100 Mbps link between an earth station (sender) and a satellite (receiver) at an altitude of 2100 km. The signal propagates at a speed of 3x10⁸ m/s. The time taken (in milliseconds, rounded off to two decimal places) for the receiver to completely receive a packet of 1000 bytes transmitted by the sender is __________.",CS - Computer Networks: Physical and Data Link Layers - Transmission and Propagation Delay
"Consider the data transfer using TCP over a 1 Gbps link. Assuming that the maximum segment lifetime (MSL) is set to 60 seconds, the minimum number of bits required for the sequence number field of the TCP header, to prevent the sequence number space from wrapping around during the MSL is __________.",CS - Computer Networks: Transport Layer - TCP Sequence Number Wraparound
"A processor X1 operating at 2 GHz has a standard 5-stage RISC instruction pipeline having a base CPI (cycles per instruction) of one without any pipeline hazards. For a given program P that has 30% branch instructions, control hazards incur 2 cycles stall for every branch. A new version of the processor X2 operating at same clock frequency has an additional branch predictor unit (BPU) that completely eliminates stalls for correctly predicted branches. There is neither any savings nor any additional stalls for wrong predictions. There are no structural hazards and data hazards for X1 and X2. If the BPU has a prediction accuracy of 80%, the speed up (rounded off to two decimal places) obtained by X2 over X1 in executing P is __________.",CS - Computer Organization and Architecture: Pipelining - Performance Evaluation and Speedup
"Consider the queues Q₁ containing four elements and Q₂ containing none (shown as the Initial State in the figure). The only operations allowed on these two queues are Enqueue(Q, element) and Dequeue(Q). The minimum number of Enqueue operations on Q₁ required to place the elements of Q₁ in Q₂ in reverse order (shown as the Final State in the figure) without using any additional storage is __________.
[Diagram showing Initial State: Q1={1,2,3,4}, Q2={}; Final State: Q1={}, Q2={4,3,2,1}]",CS - Programming and Data Structures: Queues - Queue Operations and Reversal
"Consider two files systems A and B, that use contiguous allocation and linked allocation, respectively. A file of size 100 blocks is already stored in A and also in B. Now, consider inserting a new block in the middle of the file (between 50th and 51st block), whose data is already available in the memory. Assume that there are enough free blocks at the end of the file and that the file control blocks are already in memory. Let the number of disk accesses required to insert a block in the middle of the file in A and B are nᴀ and nʙ, respectively, then the value of nᴀ + nʙ is __________.",CS - Operating Systems: File Systems - File Allocation Methods
"Consider a demand paging system with four page frames (initially empty) and LRU page replacement policy. For the following page reference string
7, 2, 7, 3, 2, 5, 3, 4, 6, 7, 7, 1, 5, 6, 1
the page fault rate, defined as the ratio of number of page faults to the number of memory accesses (rounded off to one decimal place) is __________.",CS - Operating Systems: Memory Management - Page Replacement Algorithms (LRU)
"Consider the following grammar along with translation rules.
S -> S₁ # T      { S.val = S₁.val * T.val }
S -> T          { S.val = T.val }
T -> T₁ % R      { T.val = T₁.val / R.val }
T -> R          { T.val = R.val }
R -> id         { R.val = id.val }
Here # and % are operators and id is a token that represents an integer and id.val represents the corresponding integer value. The set of non-terminals is {S, T, R} and a subscripted non-terminal indicates an instance of the non-terminal.
Using this translation scheme, the computed value of S.val for root of the parse tree for the expression 20#10%5#8%2%2 is __________.",CS - Compiler Design: Syntax Directed Translation - S-Attributed Definitions and Operator Precedence
"We reached the station late, and ________ missed the train.",GA - Verbal Ability: Grammar - Adverbs
"Kind : ________ :: Often : Frequently
(By word meaning)",GA - Verbal Ability: Vocabulary - Analogy
"A series of natural numbers F₁, F₂, F₃, F₄, F₅, F₆, F₇, ... obeys Fₙ₊₁ = Fₙ + Fₙ₋₁ for all integers n ≥ 2.
If F₆ = 37, and F₇ = 60, then what is F₁ ?",GA - Quantitative Aptitude: Number Systems - Sequences and Series
"A survey for a certain year found that 90% of pregnant women received medical care at least once before giving birth. Of these women, 60% received medical care from doctors, while 40% received medical care from other healthcare providers.
Given this information, which one of the following statements can be inferred with certainty?",GA - Quantitative Aptitude: Percentages - Data Interpretation
"Looking at the surface of a smooth 3-dimensional object from the outside, which one of the following options is TRUE?",GA - Spatial Aptitude: Geometry - Properties of Surfaces
"Consider a 3-stage pipelined processor having a delay of 10 ns (nanoseconds), 20 ns, and 14 ns, for the first, second, and the third stages, respectively. Assume that there is no other delay and the processor does not suffer from any pipeline hazards. Also assume that one instruction is fetched every cycle.
The total execution time for executing 100 instructions on this processor is __________ ns.",CS - Computer Organization and Architecture: Pipelining - Pipeline Performance
"The country of Zombieland is in distress since more than 75% of its working population is suffering from serious health issues. Studies conducted by competent health experts concluded that a complete lack of physical exercise among its working population was one of the leading causes of their health issues. As one of the measures to address the problem, the Government of Zombieland has decided to provide monetary incentives to those who ride bicycles to work.
Based only on the information provided above, which one of the following statements can be logically inferred with certainty?",GA - Verbal Ability: Reading Comprehension - Logical Inference
"Consider two functions of time (t),
f(t) = 0.01 t²
g(t) = 4t
where 0 < t < ∞.
Now consider the following two statements:
(i) For some t > 0, g(t) > f(t).
(ii) There exists a T, such that f(t) > g(t) for all t > T.
Which one of the following options is TRUE?",GA - Quantitative Aptitude: Algebra - Functions and Inequalities
"Which one of the following sentence sequences creates a coherent narrative?
(i) Once on the terrace, on her way to her small room in the corner, she notices the man right away.
(ii) She begins to pant by the time she has climbed all the stairs.
(iii) Mina has bought vegetables and rice at the market, so her bags are heavy.
(iv) He was leaning against the parapet, watching the traffic below.",GA - Verbal Ability: Reading Comprehension - Paragraph Jumbles
"f(x) and g(y) are functions of x and y, respectively, and f(x) = g(y) for all real values of x and y. Which one of the following options is necessarily TRUE for all x and y?",GA - Quantitative Aptitude: Functions - Properties of Functions
"Which one of the options best describes the transformation of the 2-dimensional figure P to Q, and then to R, as shown?
[Image showing a star shape P, which is rotated to become Q, and then reflected to become R]",GA - Spatial Aptitude: Transformations - Rotation and Reflection
"Consider the following statements regarding the front-end and back-end of a compiler.
S1: The front-end includes phases that are independent of the target hardware.
S2: The back-end includes phases that are specific to the target hardware.
S3: The back-end includes phases that are specific to the programming language used in the source code.
Identify the CORRECT option.",CS - Compiler Design: Introduction to Compilers - Phases of a Compiler
